baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
dnaA	0.000534055211860925	-1.69173664840138	0.139227986693527	0	1	1	WP_000964768.1
dnaN	0.000648435297190796	-0.907699754164763	0.130783964552769	0	1	1	WP_001237350.1
recF	0.000256588596328294	-2.78184435650056	0.152729734407283	-5.11913648992293	3.06937770129243e-07	2.06398361889335e-06	WP_000550807.1
gyrB	0.00181082748054286	-0.901391809373484	0.123562616638319	0	1	1	WP_000093732.1
cybC	0.000314167541902436	-0.861604157013938	0.145819190634786	0	1	1	WP_000987632.1
ABUW_RS00030	6.30664619154932e-05	-2.93518901361312	0.203340752384709	-4.59912242207013	4.24274415260028e-06	2.44967965953707e-05	WP_001009202.1
ABUW_RS00035	0.000283588809255852	-2.10589278592165	0.163135025919045	-0.649111282663484	0.516266449646771	1	WP_000613982.1
ABUW_RS00040	5.03445101550434e-05	-3.64502011254706	0.242471592693847	-6.78438283953585	1.16583799967273e-11	1.35432677806294e-10	WP_000746542.1
ABUW_RS00045	0.000418587393946366	0.810266132381933	0.155230061910791	0	1	1	WP_000724999.1
ABUW_RS00050	4.18450407082895e-05	-3.175481719183	0.21923088232776	-5.36184367230527	8.23768169256909e-08	6.03060471078643e-07	WP_001212535.1
erpA	0.000163093698344716	-0.447676940949936	0.155415817008884	0	1	1	WP_000993572.1
ABUW_RS00060	0.000129477570302581	-3.59191098801183	0.195130909727352	-8.15816925281669	3.40140666150565e-16	6.69921718103651e-15	WP_000366393.1
ABUW_RS00065	0.000236361218622817	-0.716362574451805	0.134358276329715	0	1	1	WP_001274579.1
tyrS	0.000163116449959042	-0.91929705005964	0.137128247226785	0	1	1	WP_000335558.1
ABUW_RS00075	0.000248041554360637	1.886054622197	0.625831111247261	0	1	1	no data
ABUW_RS00080	1.01125911869337e-07	-2.25855128023459	1.46398183815525	-0.176608256670987	0.859816108151937	1	no data
ABUW_RS00085	3.67029476426611e-07	-1.40287158398214	1.20240703083048	0	1	1	no data
ABUW_RS00090	0.000501730068392736	4.22646589225431	0.941117691397952	2.36576775955309	NA	NA	no data
rrf	5.76901553034667e-06	-3.3172655257009	0.556015851566564	-2.36911505668324	0.0178307055728793	0.0595892658249542	no data
