baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
dnaA	0.000534055211860925	0.22796537669326	0.141276250550269	0	1	1	WP_000964768.1
dnaN	0.000648435297190796	0.187977354091705	0.131627864282672	0	1	1	WP_001237350.1
recF	0.000256588596328294	0.220159906803427	0.161423393300377	0	1	1	WP_000550807.1
gyrB	0.00181082748054286	0.142987332804945	0.123878223378872	0	1	1	WP_000093732.1
cybC	0.000314167541902436	0.301089047713728	0.147550896992612	0	1	1	WP_000987632.1
ABUW_RS00030	6.30664619154932e-05	0.205651797330128	0.230799307507013	0	1	1	WP_001009202.1
ABUW_RS00035	0.000283588809255852	0.255309420472771	0.168223354571474	0	1	1	WP_000613982.1
ABUW_RS00040	5.03445101550434e-05	0.804145655746953	0.313560184473675	0	1	1	WP_000746542.1
ABUW_RS00045	0.000418587393946366	0.540228808251408	0.155139958084441	0	1	1	WP_000724999.1
ABUW_RS00050	4.18450407082895e-05	0.610802934693904	0.272847653477693	0	1	1	WP_001212535.1
erpA	0.000163093698344716	0.0101863043100331	0.156688414434579	0	1	1	WP_000993572.1
ABUW_RS00060	0.000129477570302581	0.27473514840589	0.217875400935509	0	1	1	WP_000366393.1
ABUW_RS00065	0.000236361218622817	0.00146328155587694	0.135793497415164	0	1	1	WP_001274579.1
tyrS	0.000163116449959042	-0.121466360461809	0.139221738215159	0	1	1	WP_000335558.1
ABUW_RS00075	0.000248041554360637	-0.0323515967418845	0.624656048528891	0	1	1	no data
ABUW_RS00080	1.01125911869337e-07	0	1.68393267816042	0	1	1	no data
ABUW_RS00085	3.67029476426611e-07	0.922920914233805	1.57675661264509	0	1	1	no data
ABUW_RS00090	0.000501730068392736	-0.2600847091513	0.939623469231875	0	NA	NA	no data
rrf	5.76901553034667e-06	-1.09957491296143	0.615417707139748	0	1	1	no data
ABUW_RS00100	0.000115292825549534	0.194188758624338	0.214404494951378	0	1	1	WP_000587889.1
ABUW_RS00105	0.000147352116209478	0.199195941100074	0.173852958619158	0	1	1	WP_000698067.1
ABUW_RS00110	0.000446664338353165	0.487054181096189	0.143076801156987	0	1	1	WP_000132725.1
ABUW_RS00115	4.68915331593425e-06	0.357548199771519	0.310758234753059	0	1	1	WP_001097630.1
rsmB	0.000153506207091758	0.0116096071174275	0.14902799447507	0	1	1	WP_000084730.1
fmt	0.00012424340266224	-0.0706592900720065	0.15401332848831	0	1	1	WP_000691200.1
ilvD	0.000938442513381548	0.0368256973884808	0.131755977004538	0	1	1	WP_001113590.1
ABUW_RS00135	0.000128552358821033	0.201463948788627	0.148069838457434	0	1	1	WP_000055250.1
ABUW_RS00140	3.65142869310625e-05	0.464267820609357	0.235812365438005	0	1	1	WP_000143321.1
ABUW_RS00145	4.32517662699748e-05	0.286138937019203	0.221933199821931	0	1	1	WP_001209840.1
ABUW_RS00150	9.60650062798864e-05	0.00139755953328908	0.155047788124917	0	1	1	WP_000073454.1
ppc	0.000358164052160121	0.182393091129722	0.143629934643958	0	1	1	WP_000250576.1
ABUW_RS00160	2.33143473163007e-05	0.191772316995568	0.23604751988242	0	1	1	WP_001195320.1
ABUW_RS00165	0.000502603890948962	0.123729061496574	0.149020736984916	0	1	1	WP_001050643.1
ABUW_RS00170	0.00136828154117507	0.0652785298662157	0.135220256315882	0	1	1	WP_000671305.1
ABUW_RS00175	8.54690995837522e-05	0.224761740218783	0.168542159346874	0	1	1	WP_000529425.1
dnaJ	0.00035406512235619	0.0906077005410728	0.15887169316779	0	1	1	WP_001119029.1
ABUW_RS00185	1.85789742962525e-05	0.490716280315539	0.451630356115393	0	1	1	WP_000555783.1
dapB	0.00010325164456282	0.0344642925151374	0.166170390492128	0	1	1	WP_001271382.1
ABUW_RS00195	5.6172812077725e-05	0.493962262208873	0.195980787754831	0	1	1	WP_001036017.1
