baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
dnaA	0.000534055211860925	0.113009449715556	0.137510047487434	0	1	1	WP_000964768.1
dnaN	0.000648435297190796	0.075831348107249	0.130072231982219	0	1	1	WP_001237350.1
recF	0.000256588596328294	0.0468622692248941	0.144813858015644	0	1	1	WP_000550807.1
gyrB	0.00181082748054286	0.0378730159443157	0.123276767176801	0	1	1	WP_000093732.1
cybC	0.000314167541902436	0.116340687151934	0.14457220246119	0	1	1	WP_000987632.1
ABUW_RS00030	6.30664619154932e-05	0.204073998359978	0.176177325501042	0	1	1	WP_001009202.1
ABUW_RS00035	0.000283588809255852	0.238431080907563	0.158938496805255	0	1	1	WP_000613982.1
ABUW_RS00040	5.03445101550434e-05	0.31309034073104	0.191228475669766	0	1	1	WP_000746542.1
ABUW_RS00045	0.000418587393946366	0.0564582515961277	0.15558718051788	0	1	1	WP_000724999.1
ABUW_RS00050	4.18450407082895e-05	0.19326202339966	0.176321372487784	0	1	1	WP_001212535.1
erpA	0.000163093698344716	-0.2963963060195	0.153477067847805	0	1	1	WP_000993572.1
ABUW_RS00060	0.000129477570302581	0.121619489562242	0.173975246476535	0	1	1	WP_000366393.1
ABUW_RS00065	0.000236361218622817	0.0149721210450672	0.132725640033453	0	1	1	WP_001274579.1
tyrS	0.000163116449959042	0.108701077292485	0.134501343584015	0	1	1	WP_000335558.1
ABUW_RS00075	0.000248041554360637	-2.75713405176081	0.625546493909181	-1.210356159187	0.226142256821352	1	no data
ABUW_RS00080	1.01125911869337e-07	0.71462178904839	1.34035067770519	0	1	1	no data
ABUW_RS00085	3.67029476426611e-07	-0.0904986026226395	0.838654150103861	0	1	1	no data
ABUW_RS00090	0.000501730068392736	-3.43073196366241	0.941153998293797	-1.52018900865975	NA	NA	no data
rrf	5.76901553034667e-06	-0.0473599616214155	0.367336494637159	0	1	1	no data
ABUW_RS00100	0.000115292825549534	0.319428207912901	0.187046442107839	0	1	1	WP_000587889.1
ABUW_RS00105	0.000147352116209478	0.267883966210341	0.162407706161085	0	1	1	WP_000698067.1
ABUW_RS00110	0.000446664338353165	0.172934105285775	0.14231975155676	0	1	1	WP_000132725.1
ABUW_RS00115	4.68915331593425e-06	0.409506383555137	0.334923011900958	0	1	1	WP_001097630.1
rsmB	0.000153506207091758	0.123666100523168	0.142594581157312	0	1	1	WP_000084730.1
fmt	0.00012424340266224	0.18055985462931	0.147945439583397	0	1	1	WP_000691200.1
ilvD	0.000938442513381548	-0.000455491826438492	0.132083600451766	0	1	1	WP_001113590.1
ABUW_RS00135	0.000128552358821033	0.155581729447833	0.140742221284547	0	1	1	WP_000055250.1
