baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
dnaA	0.000534055211860925	-1.80669257537908	0.139583522770711	0	1	1	WP_000964768.1
dnaN	0.000648435297190796	-1.01984576014922	0.130920719509264	0	1	1	WP_001237350.1
recF	0.000256588596328294	-2.9551419940791	0.153955167147562	-6.20402687208035	5.50363819779468e-10	4.41200748087673e-09	WP_000550807.1
gyrB	0.00181082748054286	-1.00650612623411	0.123593103853685	0	1	1	WP_000093732.1
cybC	0.000314167541902436	-1.04635251757573	0.146318667808276	0	1	1	WP_000987632.1
ABUW_RS00030	6.30664619154932e-05	-2.93676681258327	0.207266273292512	-4.51962973860791	6.19478761570903e-06	3.00447199361888e-05	WP_001009202.1
ABUW_RS00035	0.000283588809255852	-2.12277112548686	0.164156955451537	-0.747888660271265	0.454527317985903	1	WP_000613982.1
ABUW_RS00040	5.03445101550434e-05	-4.13607542756297	0.275854749863988	-7.7434788729075	9.67328680451603e-15	1.24692201998413e-13	WP_000746542.1
ABUW_RS00045	0.000418587393946366	0.326495575726653	0.155497283630519	0	1	1	WP_000724999.1
ABUW_RS00050	4.18450407082895e-05	-3.59302263047725	0.239735034973802	-6.64493043601796	3.03360315849184e-11	2.84308701810346e-10	WP_001212535.1
erpA	0.000163093698344716	-0.75425955127947	0.154765607865854	0	1	1	WP_000993572.1
ABUW_RS00060	0.000129477570302581	-3.74502664685548	0.199150707304471	-8.76234220041008	1.91234706403676e-18	3.37268482202847e-17	WP_000366393.1
ABUW_RS00065	0.000236361218622817	-0.702853734962614	0.134178325487425	0	1	1	WP_001274579.1
tyrS	0.000163116449959042	-0.689129612305346	0.136635089230946	0	1	1	WP_000335558.1
ABUW_RS00075	0.000248041554360637	-0.838727832821924	0.624370896459381	0	1	1	no data
ABUW_RS00080	1.01125911869337e-07	-1.57090743900013	1.57763221786524	0	1	1	no data
ABUW_RS00085	3.67029476426611e-07	-2.41629110083858	1.32049921289055	-0.315252820126508	0.752569703928479	1	no data
ABUW_RS00090	0.000501730068392736	1.0558186377432	0.939659836502963	0	NA	NA	no data
rrf	5.76901553034667e-06	-2.26505057436089	0.452240432585157	-0.586083320427074	0.557819524457597	1	no data
ABUW_RS00100	0.000115292825549534	-2.75095890554868	0.202231745534818	-3.713358175111	0.000204527102907795	0.000818952692757736	WP_000587889.1
ABUW_RS00105	0.000147352116209478	-1.65720643544794	0.168799929920482	0	1	1	WP_000698067.1
ABUW_RS00110	0.000446664338353165	-0.388448925180298	0.142923536274603	0	1	1	WP_000132725.1
ABUW_RS00115	4.68915331593425e-06	0.643443644727725	0.332317782368546	0	1	1	WP_001097630.1
rsmB	0.000153506207091758	-0.958365281710004	0.145819842616796	0	1	1	WP_000084730.1
fmt	0.00012424340266224	-0.665584905759008	0.150866257408606	0	1	1	WP_000691200.1
ilvD	0.000938442513381548	0.652461149923251	0.131892627901601	0	1	1	WP_001113590.1
ABUW_RS00135	0.000128552358821033	-0.992394999410412	0.144874329922293	0	1	1	WP_000055250.1
ABUW_RS00140	3.65142869310625e-05	-2.62748990245388	0.212000933011099	-2.95984500417752	0.00307793853561044	0.0102863062171994	WP_000143321.1
ABUW_RS00145	4.32517662699748e-05	-2.22221503795197	0.204614467459712	-1.0860182112769	0.277470935241475	0.677525002351746	WP_001209840.1
ABUW_RS00150	9.60650062798864e-05	-0.747790837320117	0.151241744037606	0	1	1	WP_000073454.1
ppc	0.000358164052160121	1.68915602542634	0.145211381496517	0	1	1	WP_000250576.1
ABUW_RS00160	2.33143473163007e-05	-1.12918275645362	0.221921767944845	0	1	1	WP_001195320.1
ABUW_RS00165	0.000502603890948962	1.525885334804	0.149885890786491	0	1	1	WP_001050643.1
ABUW_RS00170	0.00136828154117507	2.58224540396233	0.136023920967371	4.28046331719841	1.8650462828151e-05	8.54354141360399e-05	WP_000671305.1
ABUW_RS00175	8.54690995837522e-05	-1.20139438991608	0.163969759341033	0	1	1	WP_000529425.1
dnaJ	0.00035406512235619	-1.26995449456281	0.157600847992311	0	1	1	WP_001119029.1
ABUW_RS00185	1.85789742962525e-05	-4.26401986754851	0.375234262268407	-6.03361711657621	1.60329693749381e-09	1.1894439995174e-08	WP_000555783.1
